,station,sign,frontiere_bas,frontiere_haut
0,8012,15,"['[0111000]', '[0011100]', '[0101100]', '[0110100]']",['[1111111]']
1,8020,15,"['[0001000]', '[0010001]', '[1000000]', '[0000100]', '[0100000]']",['[1111111]']
2,9004,15,"['[0000100]', '[0100000]', '[0001000]', '[0010000]']",['[0111111]']
3,9005,15,['[1101000]'],['[1111111]']
4,9037,15,"['[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
5,9038,15,"['[0100000]', '[0010000]']",['[0111101]']
6,9118,15,"['[1010000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0010010]', '[1000001]', '[0100000]', '[0001010]', '[0001100]', '[0010100]']",['[1111111]']
7,10015,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0000001]', '[0010000]']","['[1111101]', '[1101111]', '[1111011]', '[1110111]']"
8,10033,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
9,10036,15,"['[0000100]', '[0100000]', '[0001000]', '[0010000]', '[1000000]']","['[1100101]', '[1101001]', '[1110001]', '[1000011]']"
10,11010,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
11,11017,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
12,11201,15,"['[0000100]', '[0100000]', '[0001000]', '[0010000]', '[1000000]']",['[1111101]']
13,12015,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
14,12020,15,"['[0011100]', '[1000101]', '[1010100]', '[1000011]', '[0001101]', '[1100001]', '[0111001]', '[0110010]', '[1011001]', '[1000110]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0011011]', '[0101010]', '[1100010]', '[0100100]', '[0000111]', '[1101000]', '[0010110]', '[1001010]', '[1001100]']",['[1111111]']
15,12040,15,"['[0000101]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
16,12041,15,"['[0000101]', '[0000011]', '[0001000]', '[1000100]', '[1000010]', '[0000110]', '[0100000]', '[0010000]']","['[1111001]', '[1111010]', '[1001101]', '[1001011]', '[1110011]', '[1001110]', '[1110110]', '[1110101]', '[1000111]', '[1111100]']"
17,12119,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
