,station,sign,frontiere_bas,frontiere_haut
0,46001,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[0100100]', '[0100010]', '[1010010]', '[0100001]', '[0101000]', '[1010100]', '[1010001]', '[1001000]']"
1,20205,15,"['[0000100]', '[0100000]', '[0011000]', '[0001010]', '[0001001]', '[1010000]', '[0010001]', '[0010010]', '[1000001]', '[1000010]', '[1001000]', '[0000011]']","['[1101101]', '[1011011]', '[1011101]', '[1101011]']"
2,21328,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']",['[1111111]']
3,12128,15,"['[1100000]', '[0000101]', '[0000011]', '[0001000]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0100010]', '[1000001]', '[0100100]', '[0010000]']","['[1100111]', '[1011101]', '[1110011]', '[1101011]', '[0111011]', '[1010111]', '[1101101]', '[1110101]', '[1011011]']"
4,20033,15,"['[0001000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
5,21032,-15,"['[0000100]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[1011010]', '[1011101]']"
6,11101,-15,"['[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
7,13104,-15,"['[0000101]', '[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0010000]']",['[1111111]']
8,15032,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']","['[1111001]', '[1100111]', '[0110111]', '[0101111]', '[1111110]', '[1011101]', '[0011111]', '[1110011]', '[0111101]', '[1101011]', '[0111011]', '[1010111]', '[1101101]', '[1001111]', '[1110101]', '[1011011]']"
9,4003,-15,"['[1010000]', '[1100000]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000010]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0001100]', '[0101000]', '[0110000]']",['[1111111]']
